City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description,Date
60,Arraial Do Cabo,-22.9661,-42.0278,71.46,83,75,5.75,BR,broken clouds,2022-10-04 22:53:50
61,Lebu,-37.6167,-73.65,51.03,94,24,7.31,CL,few clouds,2022-10-04 22:53:51
62,Punta Arenas,-53.15,-70.9167,51.91,62,0,16.11,CL,clear sky,2022-10-04 22:53:51
63,Bonavista,48.6499,-53.1147,53.13,72,2,19.19,CA,clear sky,2022-10-04 22:53:51
64,Havoysund,70.9963,24.6622,43.03,80,3,15.9,NO,clear sky,2022-10-04 22:53:52
65,Faanui,-16.4833,-151.75,77.68,76,28,25.64,PF,light rain,2022-10-04 22:53:52
66,Atuona,-9.8,-139.0333,76.84,69,18,20.56,PF,few clouds,2022-10-04 22:53:52
67,Flinders,-34.5833,150.8552,61.38,80,100,3.0,AU,moderate rain,2022-10-04 22:53:53
68,Castro,-24.7911,-50.0119,58.84,83,0,1.45,BR,clear sky,2022-10-04 22:53:53
69,Torbay,47.6666,-52.7314,52.27,82,20,18.41,CA,few clouds,2022-10-04 22:53:53
70,Bendigo,-36.7667,144.2833,51.85,65,100,4.0,AU,moderate rain,2022-10-04 22:50:24
71,Husavik,66.0449,-17.3389,41.7,98,100,15.88,IS,overcast clouds,2022-10-04 22:53:55
72,Elat,29.5581,34.9482,82.24,47,0,3.44,IL,clear sky,2022-10-04 22:53:55
73,Longyearbyen,78.2186,15.6401,33.67,90,79,6.62,SJ,broken clouds,2022-10-04 22:53:56
74,Borujerd,33.8973,48.7516,61.5,23,0,5.48,IR,clear sky,2022-10-04 22:53:56
75,Dingle,10.9995,122.6711,78.55,88,100,5.5,PH,overcast clouds,2022-10-04 22:53:56
76,Saint-Philippe,-21.3585,55.7679,65.79,78,41,10.74,RE,scattered clouds,2022-10-04 22:53:57
77,Talcahuano,-36.7167,-73.1167,53.28,94,75,9.22,CL,broken clouds,2022-10-04 22:53:57
78,Qaanaaq,77.484,-69.3632,15.24,76,99,4.94,GL,overcast clouds,2022-10-04 22:53:58
79,Mar Del Plata,-38.0023,-57.5575,58.08,78,21,14.97,AR,light rain,2022-10-04 22:53:58
80,Bilibino,68.0546,166.4372,22.08,75,66,4.09,RU,broken clouds,2022-10-04 22:53:58
81,Port Elizabeth,-33.918,25.5701,58.32,91,0,2.3,ZA,clear sky,2022-10-04 22:53:59
82,Yarim,14.298,44.3779,55.22,61,12,0.83,YE,few clouds,2022-10-04 22:53:59
83,Poum,-20.2333,164.0167,73.24,64,6,8.34,NC,clear sky,2022-10-04 22:54:00
84,Dudinka,69.4058,86.1778,33.62,99,100,4.76,RU,light snow,2022-10-04 22:54:00
85,Genhe,50.7833,121.5167,21.97,50,68,1.88,CN,broken clouds,2022-10-04 22:54:01
86,East London,-33.0153,27.9116,62.2,81,44,11.14,ZA,scattered clouds,2022-10-04 22:51:46
87,Gopalpur,19.2667,84.9167,79.61,87,100,4.99,IN,overcast clouds,2022-10-04 22:54:02
88,Kibondo,-3.5864,30.7203,65.25,58,65,1.77,TZ,broken clouds,2022-10-04 22:54:02
89,Lavrentiya,65.5833,-171.0,37.44,68,14,5.48,RU,few clouds,2022-10-04 22:54:03
90,San Ramon,37.7799,-121.978,85.21,53,0,11.5,US,clear sky,2022-10-04 22:49:47
91,Skibotn,69.3913,20.2679,44.8,92,68,21.85,NO,broken clouds,2022-10-04 22:54:03
92,Rafsanjan,30.4067,55.9939,72.01,18,0,1.54,IR,clear sky,2022-10-04 22:54:04
93,Mangrol,21.1167,70.1167,79.18,79,54,9.69,IN,broken clouds,2022-10-04 22:54:04
94,Tiksi,71.6872,128.8694,21.13,86,100,14.23,RU,overcast clouds,2022-10-04 22:54:05
95,Port-Gentil,-0.7193,8.7815,78.76,78,40,9.22,GA,scattered clouds,2022-10-04 22:54:05
96,Hillsboro,45.5229,-122.9898,65.68,77,20,3.44,US,few clouds,2022-10-04 22:51:47
97,Adrar,20.5022,-10.0711,94.66,16,23,11.27,MR,few clouds,2022-10-04 22:54:05
98,Bokovskaya,49.229,41.8306,55.11,82,55,5.64,RU,broken clouds,2022-10-04 22:54:06
99,Tuktoyaktuk,69.4541,-133.0374,33.8,86,20,14.97,CA,few clouds,2022-10-04 22:54:06
100,Soyo,-6.1349,12.3689,75.36,87,28,6.33,AO,scattered clouds,2022-10-04 22:54:09
101,Kruisfontein,-34.0033,24.7314,51.89,88,64,1.61,ZA,broken clouds,2022-10-04 22:54:10
102,Kapiri Mposhi,-13.9652,28.6809,67.75,35,0,4.97,ZM,clear sky,2022-10-04 22:54:11
103,Zemio,5.0314,25.1361,66.69,93,97,0.98,CF,overcast clouds,2022-10-04 22:54:12
104,Christchurch,-43.5333,172.6333,42.91,89,75,13.8,NZ,light rain,2022-10-04 22:54:12
105,Wanning,18.8003,110.3967,79.32,88,62,5.73,CN,broken clouds,2022-10-04 22:54:13
106,Yomou,7.5603,-9.2653,69.89,98,80,2.33,GN,light rain,2022-10-04 22:54:13
