City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
269,Lazaro Cardenas,MX,82.69,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
271,Kingsville,US,84.16,broken clouds,27.5159,-97.8561,Econo Lodge Kingsville
273,Garh Maharaja,PK,79.09,clear sky,30.8339,71.9053,Zaki Pansar Shop
274,Quelimane,MZ,75.15,clear sky,-17.8786,36.8883,Hotel Flamingo
275,Viransehir,TR,77.32,broken clouds,37.2353,39.7631,Viranşehir Öğretmenevi
280,Salalah,OM,77.72,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
284,San Cristobal,VE,77.18,scattered clouds,7.7669,-72.225,Pirineos
285,Ugoofaaru,MV,81.77,overcast clouds,5.6667,73.0,Ungoofaaru Inn
286,Diamantino,BR,81.81,broken clouds,-14.4086,-56.4461,Hotel Delta
287,Hambantota,LK,79.05,overcast clouds,6.1241,81.1185,Bungalow 63
290,Mayumba,GA,75.74,broken clouds,-3.432,10.6554,LIKWALE LODGE
295,Marana,US,82.51,clear sky,32.4367,-111.2254,Valley of the Sun Mobile Home & RV Park 55+
303,Fallon,US,80.47,clear sky,39.4735,-118.7774,Best Western Fallon Inn & Suites
305,Can Tho,VN,76.98,few clouds,10.0333,105.7833,Kim Lan Hotel Can Tho
316,San Patricio,US,84.92,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
319,Borba,BR,80.44,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
324,Vigia,BR,77.18,broken clouds,-0.8583,-48.1417,Hotel Bom Jesus
325,Puerto Madero,MX,82.67,scattered clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
329,Boyolangu,ID,75.85,overcast clouds,-8.1181,111.8935,Yos ega cv
331,Muli,MV,81.73,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
334,Lincoln,US,77.0,overcast clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
335,Nouadhibou,MR,76.98,broken clouds,20.931,-17.0347,El Medina
336,Gizo,SB,84.6,broken clouds,-8.103,156.8419,Imagination Island
343,Bengkulu,ID,75.16,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
344,Weston,US,83.01,scattered clouds,26.1004,-80.3998,Courtyard by Marriott Fort Lauderdale Weston
347,Katobu,ID,78.08,overcast clouds,-4.9408,122.5276,La Ode Husein
356,Harper,LR,76.24,broken clouds,4.375,-7.7169,Screensaver
358,Longview,US,86.25,clear sky,32.5007,-94.7405,Homewood Suites by Hilton Longview
359,Mathbaria,BD,77.95,overcast clouds,22.2876,89.9593,Shikdar Hotel
360,Kulhudhuffushi,MV,81.54,overcast clouds,6.6221,73.07,Haajy Guest House 1
368,Arona,ES,76.91,scattered clouds,28.0996,-16.681,Paradise Court
369,Ojinaga,MX,89.56,clear sky,29.5667,-104.4167,Suites Las Palmas
376,Tingo Maria,PE,75.54,broken clouds,-9.2895,-76.0088,Hospedaje Paraíso
381,Canto Do Buriti,BR,82.44,few clouds,-8.11,-42.9444,Novo Hotel
388,Half Moon Bay,US,81.59,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
392,Karwar,IN,77.09,broken clouds,14.8,74.1333,Netalco Connects
393,Badiraguato,MX,77.94,scattered clouds,25.3667,-107.5167,"Hotel ""Real Del Campo"""
402,Sur,OM,78.67,few clouds,22.5667,59.5289,Sur Plaza Hotel
405,Labuhan,ID,77.29,overcast clouds,-6.8844,112.2051,DoubleFAG
408,Daska,PK,75.18,clear sky,32.3243,74.3497,Royal Dream Fort
414,Mogadishu,SO,76.87,broken clouds,2.0371,45.3438,Hotel Juba
417,Biak,ID,78.17,overcast clouds,-0.9131,122.8766,Penginapan Kim
424,Acarau,BR,78.21,broken clouds,-2.8856,-40.12,castelo pizzaria
425,Waingapu,ID,80.19,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
428,Hays,US,88.3,clear sky,30.0502,-98.0336,CHAPEL HOME
433,Palomares,MX,78.85,few clouds,17.15,-95.0667,Hotel Monarca
439,Hit,IQ,81.48,clear sky,33.6416,42.8251,المعلق حسان رزاق
440,Pyapon,MM,75.34,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
444,Tupelo,US,80.89,clear sky,34.2576,-88.7034,"Hilton Garden Inn Tupelo, MS"
450,Bonthe,SL,75.81,moderate rain,7.5264,-12.505,Bonthe Holiday Village
451,Ciudad Bolivar,VE,84.04,broken clouds,8.1222,-63.5497,Hotel Edi
457,Salta,AR,79.39,few clouds,-24.7859,-65.4117,Hotel Alejandro I
459,Touros,BR,77.0,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
464,Sompeta,IN,79.14,overcast clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
466,Itarema,BR,78.08,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
469,Manokwari,ID,81.61,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
470,Ixtapa,MX,85.23,scattered clouds,20.7,-105.2,hotel la terminal
471,Sarai Naurang,PK,82.11,clear sky,32.8259,70.7814,Taj Mahal hotel
472,Male,MV,82.35,broken clouds,4.1748,73.5089,Hotel Octave Maldives
473,Meridian,US,81.52,clear sky,43.6121,-116.3915,Courtyard by Marriott Boise West/Meridian
477,Nawabshah,PK,81.59,broken clouds,26.2483,68.4096,Al karim hotel
478,Port Keats,AU,84.52,clear sky,-14.25,129.55,Kardu Durrikardu Numida Hostel
480,Mandal,IN,78.1,scattered clouds,25.45,74.5667,Surpanch saab ki vatika
484,Iracoubo,GF,79.88,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
485,Omboue,GA,75.49,broken clouds,-1.5746,9.2618,Hotel Olako
490,Cotonou,BJ,77.63,broken clouds,6.3654,2.4183,Novotel Cotonou Orisha
491,Porto Novo,BJ,76.41,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
492,Una,IN,76.41,scattered clouds,20.8167,71.0333,Hotel Harbhole
